t_s,mode,contact_err_mm,true_yaw_world_deg,held_yaw_world_deg,true_yaw_base_deg,held_yaw_base_deg,true_yaw_nominal_deg,held_yaw_nominal_deg
2.019999999999999,open,0.9433760689260158,-8.623388282745825e-17,0.0,-8.623388282745825e-17,0.0,-8.623388282745825e-17,0.0
2.039999999999997,open,0.9501127747093903,-5.668925404706941e-17,0.0,-5.668925404706941e-17,0.0,-5.668925404706941e-17,0.0
2.0599999999999947,open,0.956909995573419,4.113202142221836e-16,0.0,4.113202142221836e-16,0.0,4.113202142221836e-16,0.0
2.0799999999999925,open,0.9638072887461486,5.731553963712648e-16,0.0,5.731553963712648e-16,0.0,5.731553963712648e-16,0.0
2.0999999999999903,open,0.9708635558235585,6.759672555946848e-16,0.0,6.759672555946848e-16,0.0,6.759672555946848e-16,0.0
2.119999999999988,open,0.9781018569344092,1.1700741260109607e-15,0.0,1.1700741260109607e-15,0.0,1.1700741260109607e-15,0.0
2.139999999999986,open,0.9855395257165152,5.869323025710685e-16,0.0,5.869323025710685e-16,0.0,5.869323025710685e-16,0.0
2.1599999999999837,open,0.9932167985343711,3.325921087502916e-16,0.0,3.325921087502916e-16,0.0,3.325921087502916e-16,0.0
2.1799999999999815,open,1.0011395662580156,2.4620737449034797e-16,0.0,2.4620737449034797e-16,0.0,2.4620737449034797e-16,0.0
2.1999999999999793,open,1.009311847561613,3.192312021650552e-17,0.0,3.192312021650552e-17,0.0,3.192312021650552e-17,0.0
2.219999999999977,open,1.0177624729235886,-5.154082158403511e-16,0.0,-5.154082158403511e-16,0.0,-5.154082158403511e-16,0.0
2.239999999999975,open,1.02648709346502,-5.92560178500202e-16,0.0,-5.92560178500202e-16,0.0,-5.92560178500202e-16,0.0
2.2599999999999727,open,1.035482074405328,-7.884333019874196e-16,0.0,-7.884333019874196e-16,0.0,-7.884333019874196e-16,0.0
2.2799999999999705,open,1.0447692203696208,-7.224385668029467e-16,0.0,-7.224385668029467e-16,0.0,-7.224385668029467e-16,0.0
2.2999999999999683,open,1.0543381102421,-6.590584623321612e-16,0.0,-6.590584623321612e-16,0.0,-6.590584623321612e-16,0.0
2.319999999999966,open,1.0641806878484548,-5.905570750750605e-16,0.0,-5.905570750750605e-16,0.0,-5.905570750750605e-16,0.0
2.339999999999964,open,1.0743141411945325,-8.457249712311642e-16,0.0,-8.457249712311642e-16,0.0,-8.457249712311642e-16,0.0
2.3599999999999617,open,1.0847243839932228,-1.0497734876784234e-15,0.0,-1.0497734876784234e-15,0.0,-1.0497734876784234e-15,0.0
2.3799999999999595,open,1.0954006817053987,-1.8306737178520563e-15,0.0,-1.8306737178520563e-15,0.0,-1.8306737178520563e-15,0.0
2.3999999999999573,open,1.1063568633510381,-2.8108814602077277e-15,0.0,-2.8108814602077277e-15,0.0,-2.8108814602077277e-15,0.0
2.419999999999955,open,1.1175765789061154,-2.7755378440042486e-15,0.0,-2.7755378440042486e-15,0.0,-2.7755378440042486e-15,0.0
2.439999999999953,open,1.1290473247280013,-2.840791128013759e-15,0.0,-2.840791128013759e-15,0.0,-2.840791128013759e-15,0.0
2.4599999999999507,open,1.1407802151848891,-2.7410855709723122e-15,0.0,-2.7410855709723122e-15,0.0,-2.7410855709723122e-15,0.0
2.4799999999999485,open,1.1527575016374767,-3.220116772577075e-15,0.0,-3.220116772577075e-15,0.0,-3.220116772577075e-15,0.0
2.4999999999999463,open,1.164965388254751,-3.224427940935363e-15,0.0,-3.224427940935363e-15,0.0,-3.224427940935363e-15,0.0
2.519999999999944,open,1.1774126245761423,-3.428964371182591e-15,0.0,-3.428964371182591e-15,0.0,-3.428964371182591e-15,0.0
2.539999999999942,open,1.1900806624733085,-3.5419401983201196e-15,0.0,-3.5419401983201196e-15,0.0,-3.5419401983201196e-15,0.0
2.5599999999999397,open,1.2029546925323131,-3.862634475550652e-15,0.0,-3.862634475550652e-15,0.0,-3.862634475550652e-15,0.0
2.5799999999999375,open,1.2160413333469215,-3.520562421473963e-15,0.0,-3.520562421473963e-15,0.0,-3.520562421473963e-15,0.0
2.5999999999999353,open,1.2293217184460374,-3.2420274365504943e-15,0.0,-3.2420274365504943e-15,0.0,-3.2420274365504943e-15,0.0
2.619999999999933,open,1.242780237428725,-3.169117643333195e-15,0.0,-3.169117643333195e-15,0.0,-3.169117643333195e-15,0.0
2.639999999999931,open,1.2564215898993658,-2.6921290741277474e-15,0.0,-2.6921290741277474e-15,0.0,-2.6921290741277474e-15,0.0
2.6599999999999286,open,1.2702270296238698,-2.3582505205102975e-15,0.0,-2.3582505205102975e-15,0.0,-2.3582505205102975e-15,0.0
2.6799999999999264,open,1.2841803626488004,-2.7532438493303153e-15,0.0,-2.7532438493303153e-15,0.0,-2.7532438493303153e-15,0.0
2.6999999999999242,open,1.2982846028039146,-3.3386015879873452e-15,0.0,-3.3386015879873452e-15,0.0,-3.3386015879873452e-15,0.0
2.719999999999922,open,1.3125215521771685,-3.613867513297844e-15,0.0,-3.613867513297844e-15,0.0,-3.613867513297844e-15,0.0
2.73999999999992,open,1.3268746880092557,-3.793231056757708e-15,0.0,-3.793231056757708e-15,0.0,-3.793231056757708e-15,0.0
2.7599999999999176,open,1.3413456048814103,-3.929158427438759e-15,0.0,-3.929158427438759e-15,0.0,-3.929158427438759e-15,0.0
2.7799999999999154,open,1.3559170765410267,-3.834611807055684e-15,0.0,-3.834611807055684e-15,0.0,-3.834611807055684e-15,0.0
2.7999999999999132,open,1.3705725509414457,-4.090710479057694e-15,0.0,-4.090710479057694e-15,0.0,-4.090710479057694e-15,0.0
2.819999999999911,open,1.385312496131778,-4.206078762763275e-15,0.0,-4.206078762763275e-15,0.0,-4.206078762763275e-15,0.0
2.839999999999909,open,1.400121066015508,-4.19157650123905e-15,0.0,-4.19157650123905e-15,0.0,-4.19157650123905e-15,0.0
2.8599999999999066,open,1.4149820145274123,-4.3131014963851154e-15,0.0,-4.3131014963851154e-15,0.0,-4.3131014963851154e-15,0.0
2.8799999999999044,open,1.4298949838540458,-4.098310717038104e-15,0.0,-4.098310717038104e-15,0.0,-4.098310717038104e-15,0.0
2.899999999999902,open,1.4448458830531627,-3.6592814569368e-15,0.0,-3.6592814569368e-15,0.0,-3.6592814569368e-15,0.0
